-8.026213836669921875e+01,-3.452515869140625000e+02,5.056082031250000000e+03
3.501197433471679688e+01,-3.596580200195312500e+02,5.108843750000000000e+03
1.202415466308593750e+01,8.569240570068359375e+01,5.169924804687500000e+03
3.575401306152343750e+01,5.295361328125000000e+02,5.174328125000000000e+03
-1.955355682373046875e+02,-3.308452758789062500e+02,5.003318847656250000e+03
-2.010498352050781250e+02,1.128589859008789062e+02,5.075551757812500000e+03
-1.818025665283203125e+02,5.574206542968750000e+02,5.085644531250000000e+03
-5.693097686767578125e+01,-5.678662109375000000e+02,4.977226562500000000e+03
-4.953961181640625000e+01,-8.162579956054687500e+02,4.932562500000000000e+03
-7.629522705078125000e+01,-9.086257324218750000e+02,4.987362304687500000e+03
-4.442660140991210938e+01,-9.974202270507812500e+02,4.930822265625000000e+03
-1.634524688720703125e+02,-7.537350463867187500e+02,4.878584960937500000e+03
-3.154193115234375000e+02,-5.748756713867187500e+02,4.845687988281250000e+03
-4.490413513183593750e+02,-4.602707214355468750e+02,4.888718261718750000e+03
7.154430389404296875e+01,-7.642482299804687500e+02,4.982106933593750000e+03
2.111460571289062500e+02,-5.873213500976562500e+02,5.061887695312500000e+03
2.845142211914062500e+02,-4.775095825195312500e+02,5.184014648437500000e+03
