4.997075500488281250e+02,4.399731750488281250e+02
5.265513305664062500e+02,4.375742187500000000e+02
5.210289306640625000e+02,5.389826049804687500e+02
5.257899780273437500e+02,6.387055053710937500e+02
4.723533935546875000e+02,4.424442138671875000e+02
4.714611511230468750e+02,5.453817749023437500e+02
4.755862121582031250e+02,6.467940063476562500e+02
5.046583251953125000e+02,3.866564025878906250e+02
5.065950012207031250e+02,3.274011535644531250e+02
5.006470336914062500e+02,3.082458190917968750e+02
5.081433715820312500e+02,2.851932067871093750e+02
4.789884338378906250e+02,3.399152221679687500e+02
4.409944152832031250e+02,3.805687561035156250e+02
4.084839172363281250e+02,4.076331787109375000e+02
5.353020019531250000e+02,3.412757873535156250e+02
5.677352905273437500e+02,3.845068969726562500e+02
5.839721069335937500e+02,4.122955627441406250e+02
